"OpenComp ID","Employee ID","Name","Enabled","Reports To","Start Date","End Date","Gender","Department","Job Title","Benchmark Role","Job Type","Job Level","Location","Location Match","Benchmark Location","Currency Code","Cash Adjustment","Equity Adjustment","Base Salary","Annual Bonus","Commissions","Total Cash","Equity","Equity Ownership Percentage","Total Cash Percentile","Total Cash Target Percentile","Total Cash Target","Base Salary Percentile","Base Salary Target Percentile","Base Salary Target","Equity Percentile","Equity Target Percentile","Equity Target","Equity Ownership Percentage Target","Ethnicity","Notes","TOS","FX Rate"
268805,"EE23","Angela Martin Schrute",true,"","2021-01-07",,"female","Finance & Accounting","Finance Mgmt","Finance Mgmt","Management",4,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,150000,,,150000,11500,0.115,48,50,152150,52,50,148750,43,50,12427,0.124272772355,"white",,"0.001150",1
268806,"EE26","Kevin Malone",true,"","2021-03-21",,"male","Finance & Accounting","Finance & Accounting Support","Finance / Accounting Support","Support",3,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,62000,,,62000,3000,0.03,52,50,61200,52,50,61200,45,50,3249,0.032488800376,"white",,"0.000300",1
268807,"EE24","Holly Flax Scott",true,"","2021-01-07",,"female","Human Resources","People Business Partner","HR Business Partner","Individual Contributor",4,"Arvada, CO","Denver, CO","Denver, CO","USD",,,130000,,,130000,7100,0.071,43,50,132600,43,50,132600,49,50,7252,0.072518586536,"white",,"0.000710",1
268808,"EE27","Meredith Palmer",true,"","2021-09-21",,"female","Human Resources","People Operations Specialist","People Operations Specialist","Individual Contributor",2,"Fort Lauderdale, FL","Miami, FL","Miami, FL","USD",,,65000,,,65000,3580,0.0358,48,50,65600,51,50,64800,53,50,3356,0.033561664442,"white",,"0.000358",1
268809,"EE29","Toby Flenderson",true,"EE17","2021-02-07",,"male","Human Resources","Head of People","VP HR","Executive",7,"Fort Lauderdale, FL","Miami, FL","Miami, FL","USD",,,200000,,,200000,65000,0.65,38,50,219200,47,50,202400,52,50,61518,0.615178776498,"white",,"0.006500",1
268810,"EE30","Creed Bratton",true,"EE29","2021-07-21",,"male","Human Resources","Recruiter","Recruiter","Individual Contributor",3,"Scranton, PA","United States - Country Average","United States - Country Average","USD",,,95000,,,95000,3500,0.035,44,50,96900,44,50,96900,39,50,4222,0.042219432255,"white",,"0.000350",1
268811,"EE32","Maria Flores",true,"EE34","2021-08-21",,"female","Product & Engineering","Product Designer","Product / UI Designer","Individual Contributor",2,"Palo Alto, CA","San Francisco, CA","San Francisco, CA","USD",,,105000,,,105000,3500,0.035,45,50,107000,45,50,107000,52,50,3365,0.033651113575,"hispanic_latinx",,"0.000350",1
268812,"EE34","Pam Beesly Halpert",true,"EE16","2021-01-07",,"female","Product & Engineering","Director of Product Design","Design Mgmt","Management",4,"Oakland, CA","San Francisco, CA","San Francisco, CA","USD",,,180000,10000,,190000,20000,0.2,59,50,181000,48,50,181000,47,50,20952,0.209519052243,"white",,"0.002000",1
268813,"EE35","Darryl Philbin",true,"EE16","2021-01-22",,"male","Product & Engineering","Director of Product Management","Product Mgmt","Management",4,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,160000,,,160000,20000,0.2,47,50,164050,51,50,158100,51,50,19548,0.195476946628,"african_american_black",,"0.002000",1
268814,"EE36","Andy Bernard",true,"EE41","2021-01-14",,"male","Sales","Account Executive","Account Executive","Individual Contributor",4,"Ithaca, NY","Philadelphia, PA","Philadelphia, PA","USD",,,115000,,100000,215000,3500,0.035,51,50,212500,56,50,112200,50,50,3462,0.034623361715,"white",,"0.000350",1
268815,"EE37","Phyllis Vance",true,"EE41","2021-01-14",,"female","Sales","Account Executive","Account Executive","Individual Contributor",4,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,115000,,100000,215000,3500,0.035,51,50,212500,56,50,112200,50,50,3462,0.034623361715,"white",,"0.000350",1
268816,"EE38","Stanley Hudson",true,"EE41","2021-01-14",,"male","Sales","Account Executive","Account Executive","Individual Contributor",4,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,115000,,100000,215000,3500,0.035,51,50,212500,56,50,112200,50,50,3462,0.034623361715,"african_american_black",,"0.000350",1
268817,"EE41","Jim Halpert",true,"EE17","2021-01-07",,"male","Sales","Vice President of Sales","VP Sales","Executive",7,"Oakland, CA","San Francisco, CA","San Francisco, CA","USD",,,240000,,150000,390000,70000,0.7,50,50,391000,52,50,238000,49,50,71266,0.712655321513,"white",,"0.007000",1
268818,"183222","Dwight Kurt Schrute III",true,"EE17","2021-01-07",,"male","Digital Management","Assistant to the Digital Regional Manager","VP Operations","Executive",7,"Scranton, PA","Philadelphia, PA","Philadelphia, PA","USD",,,200000,10000,,210000,65000,0.65,47,50,212500,49,50,200600,49,50,65634,0.656342755081,"white",,"0.006500",1
